entity_id,company,sector,subsector,round,deal_type,amount_m,valuation_m,date,date_display,month_year,quarter,year,location,lead_investors,other_investors,robotnik_notes,source,source_status,total_raised_m,public_market_link,related_tickers
skyechip-berhad,SkyeChip Berhad,Semiconductors,EDA & IP,IPO (filed),venture,84.0,,2026-04-30,30-Apr-26,Apr-26,2Q26,2026,Malaysia (Penang),Bursa Malaysia Main Market (target listing 2026-05-20),,Penang fabless IC design and silicon IP house priced its Main Market IPO at 88 sen/share to raise RM352M (~$84M USD) for AI silicon R&D and next-gen IP. Largest front-end semi IPO in ASEAN; geopolitically-neutral foundry of IP between US/China.,https://theedgemalaysia.com/node/801729,verified,,,
groove-quantum,Groove Quantum,Semiconductors,Frontier Compute,Seed,venture,18.7,,2026-04-30,30-Apr-26,Apr-26,2Q26,2026,Netherlands (Delft),"Innovation Industries, 55 North","Verve Ventures, European Innovation Council Fund, EIC Accelerator + EU Chips Act grants",QuTech spin-out building CMOS-compatible germanium spin-qubit processors with claim of largest semiconductor spin-qubit processor (18 qubits). E10M equity + E6M EU grants — Europe's strongest play on industrially-fabricable quantum logic.,https://thequantuminsider.com/2026/04/30/groove-quantum-spin-qubit-processor-funding/,verified,,,
crewline-ai,Crewline AI,Robotics,Industrial Robots,Seed,venture,7.1,,2026-04-30,30-Apr-26,Apr-26,2Q26,2026,"USA (San Francisco, CA)","Initialized Capital, Nebular","Ford Street Ventures, Cocoa, Begin, Entrepreneurs First, Transpose",Retrofit-autonomy stack for vibratory rollers (asphalt/soil compaction) with $26M+ in waitlisted contracts. Targets the construction-equipment autonomy bracket vs Built Robotics and Bedrock Robotics.,https://www.finsmes.com/2026/04/crewline-ai-raises-7-1m-in-seed-funding.html,verified,,,
york-space-systems-all-space,York Space Systems / ALL.SPACE,Space,Ground Systems & Antennas,M&A,venture,355.0,355.0,2026-04-29,29-Apr-26,Apr-26,2Q26,2026,United Kingdom (Reading),York Space Systems,,York acquires UK-based ALL.SPACE (multi-orbit phased-array antenna terminals). $355M deal: $155M cash + 5.9M YSS shares. Closes Q3 2026. Pentagon push for single-vendor terminal stacks driving smallsat M&A consolidation.,https://spacenews.com/york-space-to-buy-satcom-terminal-manufacturer-all-space/,verified,,,
scout-ai,Scout AI,Robotics,Software & Simulation,Series A,venture,100.0,,2026-04-29,29-Apr-26,Apr-26,2Q26,2026,"USA (Silicon Valley, CA)","Align Ventures, Draper Associates","Decisive Point, Booz Allen Ventures, BVVC, Neman Ventures, Evolution VC Partners, Heraclitus Capital Management, Sigmas Group, Disruptive Founders Fund, Vaughn Capital Partners",Foundation model for unmanned warfare reasoning across air/land/sea/space; $11M in DoW contracts in year one. Competes with Anduril Lattice and Shield AI Hivemind in the multi-domain autonomy stack.,https://www.prnewswire.com/news-releases/scout-ai-raises-100m-series-a-to-build-the-ai-brain-for-unmanned-warfare-302756871.html,verified,,,
linkerbot,Linkerbot,Robotics,Motion Control & Actuators,Series B,venture,100.0,3000.0,2026-04-29,29-Apr-26,Apr-26,2Q26,2026,China (Beijing),Zhongguancun Science Park Fund,"Bank of China Asset Management, Fosun Capital, Ant Group, HongShan",Dexterous robotic hands for humanoid platforms; reported $3B valuation on the just-closed B+ with a $6B valuation target for next round. Picks-and-shovels for the China humanoid wave; closest US comp Sanctuary AI's hand efforts.,https://thenextweb.com/news/linkerbot-china-robot-hand-6-billion-valuation,verified,,,
firestorm-labs,Firestorm Labs,Robotics,Autonomous Systems & Drones,Series B,venture,82.0,,2026-04-29,29-Apr-26,Apr-26,2Q26,2026,"USA (San Diego, CA)",Washington Harbour Partners,"Booz Allen Ventures, Lockheed Martin Ventures, In-Q-Tel, New Enterprise Associates, Ondas, Geodesic, Motley Fool Ventures",Containerized 3D-printing platform (xCell) for forward-deployed UAS production via HP partnership; total funding now $153M. Riff on the AeroVironment/Anduril additive-manufacturing thesis.,https://www.accessnewswire.com/newsroom/en/aerospace-and-defense/firestorm-labs-announces-82-million-series-b-to-accelerate-expeditionary-defe-1162253,verified,,,
all3,All3,Robotics,Industrial Robots,Seed,venture,25.0,,2026-04-29,29-Apr-26,Apr-26,2Q26,2026,United Kingdom (London),RTP Global,"SuperSeed, Begin Capital, s16vc, VNV Global",Vertical-stack play: AI architecture + robotic factories + Mantis legged robot for residential construction in Germany. Founder previously sold Samokat for $1.5B; oversized seed reflects ambition more than tech maturity.,https://thenextweb.com/news/all3-25m-seed-construction-robots-ai-housing,verified,,,
skyfireai,SkyfireAI,Robotics,Autonomous Systems & Drones,Seed,venture,11.0,,2026-04-29,29-Apr-26,Apr-26,2Q26,2026,"USA (Huntsville, AL)",Mucker Capital,"AI Fund, SaaS Ventures, Halogen Ventures, Harvard Business School Alumni Angels, New York Angels","Multi-drone autonomy software for first-responder and DoD use, founded by Navy/IC/DARPA veterans. Comp set: Skydio, Shield AI, Brinc; software-first thesis vs. Skydio's vertically integrated approach.",https://www.thedronegirl.com/2026/04/28/skyfireai-drone-autonomy-software/,verified,,,
true-anomaly,True Anomaly,Space,In-Orbit Services,Series D,venture,650.0,2200.0,2026-04-28,28-Apr-26,Apr-26,2Q26,2026,"USA (Centennial, CO)","Eclipse, Riot Ventures","Paradigm, Atreides, G Squared, The Private Shares Fund, VanEck, Accel, Menlo Ventures, ACME Capital, Space VC, Meritech Capital, Narya, 645 Ventures",Massive Series D for orbital defense pure-play. $1B total raised. One of 12 contractors selected for Pentagon's Golden Dome space-based interceptor program. Hiring from 300 to 500 by year-end. Valuation tripled with this round.,https://spacenews.com/true-anomaly-raises-650-million-reaching-2-2-billion-valuation/,verified,,,
openlight,OpenLight,Semiconductors,Frontier Compute,Series A (extension),venture,50.0,,2026-04-28,28-Apr-26,Apr-26,2Q26,2026,"USA (Santa Clara, CA)",Matter Venture Partners,"Acclimate Ventures, Catapult Ventures, Xora Innovation, Capricorn Investment Group, Mayfield, New Legacy",Custom photonic chips with PDK library including 400G modulator and indium phosphide heterogeneously integrated lasers. Total funding now $84M; sits in the AI fabric layer alongside Ayar Labs and competing with optics offerings from MRVL/AVGO.,https://www.businesswire.com/news/home/20260428377852/en/OpenLight-Secures-$50-Million-in-Series-A-1-Funding-to-Accelerate-Global-Deployment-of-Next-Generation-Photonics,verified,,,
sereact,Sereact,Robotics,Warehouse & Logistics,Series B,venture,110.0,,2026-04-27,27-Apr-26,Apr-26,2Q26,2026,Germany (Stuttgart),Headline,"Bullhound Capital, Daphni, Felix Capital, Air Street Capital, Creandum, Point Nine",German warehouse-robotics software developer scaling its Cortex 2.0 VLA+world-model stack and entering the US via Boston. Comp: physical-AI middleware bracket trading at warehouse-automation premiums vs SYM and KION public proxies.,https://sereact.ai/posts/series-b,verified,,,
altair-semiconductor,Altair Semiconductor,Semiconductors,Fabless Design,Strategic,strategic_corporate,50.0,,2026-04-27,27-Apr-26,Apr-26,2Q26,2026,Israel (Hod HaSharon),Pitango Group,Sony Semiconductor Solutions (continuing as one of largest shareholders),Israeli cellular IoT chipmaker re-spun out of Sony 10 years after $212M acquisition. $50M post-spinoff funding round to focus on 5G IoT/eRedCap and Physical AI; sits squarely in the connectivity layer for ARM-based edge devices.,https://siliconangle.com/2026/04/27/altair-semiconductor-raises-50m-completing-spinoff-sony/,verified,,,
quantum-art,Quantum Art,Semiconductors,Frontier Compute,Series A (extension),venture,40.0,,2026-04-27,27-Apr-26,Apr-26,2Q26,2026,Israel (Ness Ziona),Bedford Ridge Capital,"Hudson Bay Capital, Poalim Equity, LIP Ventures, Wolverine Global Ventures, IDA Ventures","Israeli trapped-ion quantum computer maker extends Series A from $100M (Dec 2025) to $140M total. Building 1,000-qubit multi-core 'Perspective' system; aligns with broader Frontier Compute thesis post-NVDA dominance.",https://thequantuminsider.com/2026/04/27/quantum-art-extends-series-a-funding-to-140-million-with-participation-from-global-financial-leaders/,verified,,,
squaremind,SquareMind,Robotics,Surgical & Medical,Pre-Series A,venture,18.0,,2026-04-27,27-Apr-26,Apr-26,2Q26,2026,France (Paris),Sonder Capital,"Deeptech 2030 Fund (Bpifrance), Adamed Technology, Calm/Storm Ventures, Teampact Ventures",Swan robotic full-body dermoscopic imaging platform with CE mark; Sonder is Intuitive Surgical-founder Fred Moll's vehicle. CE/FDA Class I exempt fast-tracks 2026 commercial launch in US/EU.,https://www.businesswire.com/news/home/20260427129819/en/SquareMind-Raises-$18-Million-to-Redefine-Skin-Exams-With-Robotics-and-AI,verified,,,
renewable-metals,Renewable Metals,Materials,Battery Materials,Series A,venture,12.0,,2026-04-27,27-Apr-26,Apr-26,2Q26,2026,"Australia (Perth, WA)",Clean Energy Finance Corporation (via Virescent Ventures),"Neglected Climate Opportunities, European Metal Recycling (EMR), Investible, Climate Tech Partners","Lithium-ion battery recycling using alkali-based hydrometallurgical process. Recovers Li, Co, Ni, Cu, Mn at >95% efficiency, captures up to 30% more lithium than acid-based methods. Round upsized from $8M target. Total raised >$38M since inception. Plant ramping from 960 tpa to 2,000 tpa. Smaller, distributed approach contrasts with the centralized model of Redwood/Ascend — particularly relevant given Ascend Elements bankruptcy April 9, 2026.",https://www.cefc.com.au/media/media-release/renewable-metals-raises-12-million-series-a-to-scale-next-generation-lithium-ion-battery-recycling-technology/,verified,,,
