variant,canonical,occurrences,notes
10X Founders,10x Founders,1,Case variant
8VC (Series A),8VC,1,Strip round annotation
Abstract,Abstract Ventures,1,USER-VERIFY: 1 occ 'Abstract' vs 2 occ 'Abstract Ventures' — likely same firm
Abu Dhabi Investment Authority (ADIA),Abu Dhabi Investment Authority,1,Strip abbreviation parenthetical
Accenture,Accenture Ventures,1,USER-VERIFY: Accenture corporate (1 occ) vs Accenture Ventures (3 occ) — keep corporate distinct?
ACME,ACME Capital,1,USER-VERIFY: bare 'ACME' likely same firm
Acme Capital,ACME Capital,1,Case variant
ACS Group (via Iridium Concesiones de Infraestructuras),ACS Group,1,Strip subsidiary parenthetical
additional co-investors,additional investors,1,Wording variant
AE Industrial,AE Industrial Partners,1,USER-VERIFY: shorthand vs full firm name
AE Ventures (Boeing),AE Ventures,1,Strip parent-company parenthetical
Alibaba,Alibaba Group,2,USER-VERIFY: Alibaba (2 occ) vs Alibaba Group (1 occ) — same entity?
Aliya Capital,Aliya Capital Partners,1,USER-VERIFY: suffix variation
Allen & Co.,Allen & Company,1,Suffix abbreviation
Alliance,Alliance Ventures,2,USER-VERIFY: 2 occ 'Alliance' (Renault-Nissan-Mitsubishi?) vs 1 occ 'Alliance Ventures'
Altimeter,Altimeter Capital,1,Altimeter consolidation (user list)
Amazon (acquirer),Amazon,1,Strip role parenthetical
AMD,AMD Ventures,4,USER-VERIFY: AMD corporate vs AMD Ventures — likely keep distinct
Andreessen Horowitz (a16z Growth),Andreessen Horowitz,1,Strip sub-fund parenthetical
Anzu Partners (co-lead),Anzu Partners,1,Strip role parenthetical
Anzu Partners (existing),Anzu Partners,1,Strip existing-investor parenthetical
Ark Invest,ARK Invest,1,Case variant
Arm,Arm Holdings,5,USER-VERIFY: brand vs legal entity
Ascend,Ascend Capital Partners,1,USER-VERIFY: shorthand vs full firm name
Astanor,Astanor Ventures,2,Shorthand of full firm name
Atreides,Atreides Management,1,Shorthand of full firm name
Baidu,Baidu Ventures,2,USER-VERIFY: Baidu corporate vs Baidu Ventures — likely keep distinct
Bain Capital,Bain Capital Ventures,1,USER-VERIFY: KEEP DISTINCT likely — Bain Capital is parent firm; Bain Capital Ventures is a strategy
Balaji Srinivasan (angel),Balaji Srinivasan,1,Strip role parenthetical
Balerion Space,Balerion Space Ventures,3,USER-VERIFY: shorthand vs full firm name
Bam Elevate,BAM Elevate,1,Case variant
Barclays (lead bookrunners),Barclays,1,Strip role parenthetical
Basis Set,Basis Set Ventures,1,USER-VERIFY: shorthand of full firm name
Bayern Kapital (Scale Up Fund Bavaria),Bayern Kapital,1,Strip sub-fund parenthetical
BDC,BDC Capital,1,USER-VERIFY: BDC vs BDC Capital — same entity?
Bessemer,Bessemer Venture Partners,1,Shorthand of full firm name
Bessemer Venture Partners (existing),Bessemer Venture Partners,1,Strip existing-investor parenthetical
Binance Labs (existing),Binance Labs,1,Strip existing-investor parenthetical
Boka Group,BOKA Group,1,Case variant
BOM (Brabantse Ontwikkelings Maatschappij),BOM,1,Strip translation parenthetical
Bond,BOND,2,BOND consolidation (uppercase canonical per user list)
Bosch (10%),Bosch Ventures,1,USER-VERIFY: 'Bosch' with annotation — corporate parent? KEEP DISTINCT from venture arm
Bosch Group,Bosch Ventures,1,USER-VERIFY: corporate parent vs venture arm — likely KEEP DISTINCT
Bosch Ventures (existing),Bosch Ventures,1,Strip existing-investor parenthetical
bp Ventures,BP Ventures,1,Case variant
Bpifrance (Deep Tech 2030),Bpifrance,1,Strip program parenthetical
Bpifrance (DeepTech 2030),Bpifrance,1,Strip program parenthetical
Bpifrance (via French Tech Sovereignty / France 2030),Bpifrance,1,Strip program parenthetical
Breakthrough Energy (prior non-dilutive),Breakthrough Energy,1,Strip annotation parenthetical
Bricks Capital,Bricks Capital Management,1,USER-VERIFY: suffix variation
BRV,BRV Capital Management,1,USER-VERIFY: shorthand vs full firm name
BV.VC,BVVC,1,Punctuation variant
BYD Company,BYD,1,Strip 'Company' suffix
Calibrate,Calibrate Ventures,1,Shorthand of full firm name
Canaan,Canaan Partners,1,Shorthand of full firm name
Canada Pension Plan Investment Board (CPP Investments),Canada Pension Plan Investment Board,1,Strip rebrand parenthetical
Cantos Ventures,Cantos,1,USER-VERIFY: 'Cantos' is the brand (4 occ); 'Cantos Ventures' (1 occ) likely same firm
CapitalG (Alphabet),CapitalG,1,Strip parent-company parenthetical
Capnamic,Capnamic Ventures,1,Shorthand of full firm name
Capricorn,Capricorn Investment Group,1,USER-VERIFY: 'Capricorn' alone vs Capricorn Investment Group vs Capricorn Partners — different firms?
Capricorn Partners,Capricorn Partners,1,USER-VERIFY: distinct from Capricorn Investment Group? KEEP DISTINCT likely
Capricorn Technology Impact Funds,Capricorn Technology Impact Fund,1,Plural/singular variant
Cathay Capital,Cathay Capital,2,USER-VERIFY: Cathay Capital (2 occ) vs Cathay Ventures (1 occ) — different firms?
CDP Venture Capital (AI Fund),CDP Venture Capital,1,Strip sub-fund parenthetical
CDP Venture Capital Sgr,CDP Venture Capital SGR,1,Case variant (SGR uppercase)
CDP Venture Capital Sgr (Fondo Evoluzione),CDP Venture Capital SGR,1,Strip sub-fund parenthetical + case
CDTI (Spanish gov tech fund),CDTI,1,Strip descriptor parenthetical
China Life Private Equity Investment Limited,China Life Private Equity Investment,1,Strip 'Limited' suffix
Cisco,Cisco Investments,1,USER-VERIFY: Cisco corporate vs Cisco Investments venture arm — KEEP DISTINCT likely
Clal-Tech,Claltech (Blavatnik),1,USER-VERIFY: hyphen vs concatenated; one row keeps parenthetical
ClearVision,Clearvision Ventures,1,USER-VERIFY: case + suffix
CMB International,CMB International Capital,1,USER-VERIFY: suffix variation
Congruent,Congruent Ventures,1,Shorthand of full firm name
dao5,DAO5,1,Case variant
Dao5,DAO5,1,Case variant
Day One Capital,Day One Capital,1,USER-VERIFY: Day One Capital vs Day One Ventures — separate firms
Decarbonization Partners (BlackRock + Temasek),Decarbonization Partners,1,Strip backers parenthetical
DeepTech & Climate Fonds (DTCF),DeepTech & Climate Fonds,2,Strip abbreviation parenthetical
Definvest (Bpifrance),Definvest,1,Strip parent parenthetical
Development Bank of Japan (32 private companies total; 167.6B yen),Development Bank of Japan,1,Strip syndicate annotation
DRONE FUND,Drone Fund,1,Case variant (Title Case canonical)
DST Global Partners,DST Global,1,USER-VERIFY: 'DST Global Partners' (1 occ) likely same as DST Global (2 occ)
DYNE,DYNE Ventures,1,USER-VERIFY: shorthand
E14,E14 Fund,1,USER-VERIFY: shorthand
Earlybird,Earlybird Venture Capital,2,Shorthand of full firm name
Eclipse (Seed),Eclipse,1,Strip round annotation
Eclipse,Eclipse Ventures,14,USER-VERIFY: 'Eclipse' (14 occ) and 'Eclipse Ventures' (13 occ) likely same firm — Eclipse VC rebranded
EIC Fund (EUR 6M equity),EIC Fund,1,Strip amount annotation
Elaia Partners,Elaia,1,USER-VERIFY: 'Elaia' (5 occ) is preferred shorthand; verify direction
Eneos Innovation Partners,ENEOS Innovation Partners,1,Case variant
EPIQ Capital Group,Epiq Capital,1,USER-VERIFY: case + suffix
Equinor,Equinor Ventures,1,USER-VERIFY: corporate vs venture arm — KEEP DISTINCT likely
Equinor Ventures (Series B portion: $37M; non-dilutive: $7M),Equinor Ventures,1,Strip amount annotation
Ericsson,Ericsson Ventures,2,USER-VERIFY: corporate vs venture arm — KEEP DISTINCT likely
Euclidean Capital (Jim Simons),Euclidean Capital,1,Strip principal parenthetical
EUREKA! Venture SGR,Eureka! Venture SGR,1,Case variant
European Innovation Council (EIC),European Innovation Council,1,Strip abbreviation parenthetical
European Innovation Council (EIC Accelerator),European Innovation Council Accelerator,1,Reformat parenthetical to suffix
European Innovation Council (EIC) Accelerator,European Innovation Council Accelerator,1,Strip abbreviation parenthetical
European Innovation Council (EIC) Fund,European Innovation Council Fund,2,Strip abbreviation parenthetical
European Innovation Council Fund (EIC-A),European Innovation Council Fund,1,Strip sub-program parenthetical
European Investment Bank (debt),European Investment Bank,1,Strip instrument parenthetical
European Investment Bank (InvestEU),European Investment Bank,1,Strip program parenthetical
Eve Atlas,EVE Atlas,1,Case variant
