entity_id,company,company_description,sector,subsector,value_chain_tier,bottleneck_risk,policy_exposure,round,deal_type,amount_m,valuation_m,date,date_display,month_year,quarter,year,location,lead_investors,co_investors,related_tickers,robotnik_take,source
kobold-metals,KoBold Metals,"Uses machine-learning models to identify and develop deposits of copper, lithium, nickel, and cobalt globally. Flagship project is the Mingomba copper deposit in Zambia; the company exists at the intersection of AI-driven exploration software and traditional mining operations.",Materials,Battery Materials,Upstream Materials,High,US_Critical_Minerals_List;US_DOE_LPO_Eligible,Series C,venture,537,2960.0,2025-01-02,2-Jan-25,Jan-25,1Q25,2025,USA,"Durable Capital Partners, T. Rowe Price","Andreessen Horowitz, BOND, Breakthrough Energy Ventures, Earthshot VC, Equinor, July Fund, Mitsubishi, Standard Investments, StepStone Group, WCM Investment Management",,"$537M at $2.96B post — the largest mineral-exploration venture round on record, anchoring KoBold as the AI-native critical-minerals comp to traditional majors Freeport-McMoRan (FCX), Rio Tinto (RIO), and BHP (BHP). Durable + T. Rowe leading signals crossover capital is treating Mingomba copper discovery as a pre-IPO setup, not a venture science bet. The thesis turns on whether ML-driven exploration produces a step-change in copper hit-rates versus a generation of seismic-only majors — a binary geological catalyst, not a software one.",https://techcrunch.com/2025/01/02/kobold-used-ai-to-find-copper-now-investors-are-piling-in-to-the-tune-of-537m/
fourier-intelligence,Fourier Intelligence,Chinese humanoid robot developer behind the GR-2 platform. Also operates a rehabilitation robotics business line for clinical use.,Robotics,Humanoid & Service Robots,System Integration,Medium,China_Made_In_China_2025,Series E,venture,109,1100,2025-01-07,7-Jan-25,Jan-25,1Q25,2025,China (Shanghai),"Guoxin Investment, Pudong Venture Capital","Zhangjiang Hi-Tech, Zhangke Yaokun Fund, Prosperity7 Ventures, Junshan Capital",,"Series E at $1.1B post puts Fourier into the Chinese humanoid unicorn cohort alongside Unitree, Galbot, and Agibot — but valuation lags Spirit AI's $1.4B post-Series-A by an order of magnitude in funding efficiency. GR-2 platform competes with Tesla (TSLA) Optimus and Apptronik Apollo on the bipedal stack while rehab-robotics revenue gives Fourier near-term cashflow most peers lack. Guoxin/Pudong lead reads as state-municipal alignment; the bet is rehab-revenue funds the humanoid roadmap.",https://www.dealstreetasia.com/stories/chinese-robotics-firm-fourier-books-nearly-109m-425571
harbinger,Harbinger,"Builds medium-duty electric truck chassis from a clean-sheet design for delivery, work-truck, and motorhome applications. Order book of approximately 4,690 vehicles worth around $500M; founded by alumni of Canoo and QuantumScape.",Robotics,Autonomous Systems & Drones,System Integration,Medium,None,Series B,venture,100,,2025-01-14,14-Jan-25,Jan-25,1Q25,2025,"USA (Garden Grove, CA)","Capricorn Technology Impact Fund, Leitmotif","Tiger Global Management, ArcTern Ventures, THOR Industries, Coca-Cola System Sustainability Fund, Ridgeline, Maniv Mobility, Ironspring, Schematic",,"$100M Series B against a 4,690-unit / ~$500M order book — backlog-to-funding ratio is the cleanest in the EV-chassis class, contrasting with Canoo's collapse and Rivian (RIVN) / Workhorse (WKHS) burn rates. Tiger Global + Capricorn co-leading alongside THOR (THO) and Coca-Cola system signals strategic-anchor customer validation, not pure venture optionality. Medium-duty is the segment Ford (F) and Stellantis (STLA) under-serve; Harbinger's binary catalyst is converting the order book into delivered units without the chassis-startup death-by-NRE pattern.",https://techcrunch.com/2025/01/14/ev-startup-harbingers-obsession-with-simplicity-fuels-100m-series-b/
neura-robotics,NEURA Robotics,"Develops humanoid and cognitive robots equipped with onboard AI software for industrial and service applications. Flagship product is the 4NE1 humanoid, a 5.9-foot bipedal robot designed to understand natural-language instructions and handle payloads up to 220 pounds.",Robotics,Humanoid & Service Robots,System Integration,High,None,Series B,venture,123,,2025-01-15,15-Jan-25,Jan-25,1Q25,2025,Germany (Metzingen),Lingotto Investment Management,"BlueCrest Capital, Volvo Cars Tech Fund, InterAlpen Partners, Vsquared Ventures, HV Capital, Delta Electronics, C4 Ventures, L-Bank",,"At the time, Europe's largest humanoid round — NEURA is the European counterweight to Apptronik, Figure, and 1X, with Volvo Cars Tech Fund anchoring auto-industry pull-through. Lingotto (Agnelli family) lead reads as Stellantis (STLA) / Ferrari (RACE) strategic positioning, not pure financial. 4NE1 third-gen targets the same warehouse / light-manufacturing TAM as Apollo and Optimus (TSLA), but with German industrial customers as the LTM revenue base. The bet is whether European OEMs procure domestically before US-trained models cross over.",https://neura-robotics.com/neura-robotics-secures-euro-120-million-series-b/
stoke-space,Stoke Space,"Develops Nova, a fully reusable two-stage medium-lift rocket. Both stages are designed to return and land for refurbishment. Targets US national security launch contracts (NSSL Phase 3 Lane 1) alongside commercial customers.",Space,Launch,Deployment & Operation,High,US_DPA_Title_III,Series C,venture,260,,2025-01-15,15-Jan-25,Jan-25,1Q25,2025,"USA (Kent, WA)","Breakthrough Energy Ventures, Glade Brook Capital","Point72 Ventures, Woven Capital, 776, Industrious Ventures, Leitmotif, Y Combinator",NVMI,"$260M Series C funds Nova rocket development and Cape Canaveral pad LC-14, the first US fully-reusable two-stage program after SpaceX. Comp set: Rocket Lab (RKLB) on partial reusability, Relativity and Blue Origin privately. The Breakthrough Energy + Glade Brook lead is a climate-aligned strategic syndicate signalling launch-decarbonization thesis. First Nova flight test is the binary milestone; subsequent Oct-25 Series D + Feb-26 extension validate investor conviction.",https://spacenews.com/stoke-space-raises-260-million/
loft-orbital,Loft Orbital,Operates a 'space infrastructure as a service' business — builds and operates satellites carrying hosted payloads for customers who buy capacity rather than buying their own spacecraft. Backlog exceeds $500M across commercial and government customers.,Space,In-Orbit Services,Deployment & Operation,Medium,US_DPA_Title_III,Series C,venture,170,1000,2025-01-15,15-Jan-25,Jan-25,1Q25,2025,"USA (San Francisco, CA)","Tikehau Capital, Axial Partners","Bpifrance, Foundation Capital, Temasek, Uncork Capital, Starburst VC, Supernova, Tribeca VP",,"Unicorn round on $500M+ backlog — Loft is the hosted-payload comp to Planet (PL) and BlackSky (BKSY) on the recurring-bookings model, but differentiated by selling capacity rather than imagery. Tikehau + Temasek leading reads as sovereign infrastructure capital, not growth equity; Bpifrance participation flags French strategic alignment. The thesis: as launch cost collapses via SpaceX, satellite-as-a-service becomes the dominant procurement model for governments unwilling to operate their own birds. Execution risk is bus-supplier dependency, not demand.",https://techcrunch.com/2025/01/15/loft-orbital-lands-a-fresh-170-million/
shippeo,Shippeo,"Real-time multimodal transport visibility platform — software that tracks freight across road, rail, ocean, and air. Sells to shippers and carriers for supply-chain visibility; competes with project44 and FourKites.",Robotics,Warehouse & Logistics,System Integration,Pre-commercial,None,Undisclosed,venture,30,,2025-01-15,15-Jan-25,Jan-25,1Q25,2025,France (Paris),Woven Capital,"Battery Ventures, Partech, NGP Capital, Bpifrance Digital Venture, LFX, Shift4Good, Yamaha Motor Ventures",,"$30M undisclosed tranche brings Shippeo total above $140M — competes directly with project44 and FourKites in real-time visibility, against the public-market read-through of Descartes (DSGX) and SPS Commerce (SPSC) on the supply-chain SaaS stack. Woven (Toyota) lead plus Yamaha Motor Ventures suggests Japanese OEM pull-through. APAC customer growth of 53% YoY is the only metric that differentiates Shippeo from project44; if APAC consolidation continues, Shippeo is the natural acquisition target for a logistics platform play.",https://www.shippeo.com/resources/explore/press-releases/shippeo-raises-30m-strategic-round/
electralith,ElectraLith,Develops direct lithium extraction (DLE) technology using membrane-based separation for sustainable battery materials supply.,Materials,Battery Materials,Upstream Materials,Pre-commercial,US_Critical_Minerals_List;US_DOE_LPO_Eligible,Series A,venture,18,,2025-01-16,16-Jan-25,Jan-25,1Q25,2025,USA,Undisclosed,,,"$18M Series A on undisclosed lead — DLE category competes against Albemarle (ALB), SQM (SQM), and Standard Lithium (SLI) on the brine-extraction stack. Membrane-based separation is the differentiator versus solvent extraction; the thesis is unit economics at scale, not technology novelty. Sub-$25M tail round for the segment — the binary catalyst is a single commercial DLE plant demonstrating cost-down versus conventional brine evaporation.",https://techcrunch.com
bow,BOW,University of Sheffield spinout building a universal robotics software platform — an SDK enabling cross-platform robot programming across different hardware vendors.,Robotics,Software & Simulation,Software & Services,Pre-commercial,UK_NSI_Act,Seed,venture,5,,2025-01-27,27-Jan-25,Jan-25,1Q25,2025,United Kingdom (Sheffield),Northern Gritstone,"Northern Powerhouse Investment Fund II, Praetura Ventures",ROBOT,"$5M seed for a cross-platform robotics SDK — competing with ROS-derived stacks and Viam's horizontal platform on the developer-infrastructure layer. Northern Gritstone lead is UK regional-deeptech capital, not venture-velocity. Comp set thin at this stage but adjacent reads: NVIDIA (NVDA) Isaac, ABB (ABB) RobotStudio on incumbent toolchains. Binary: developer adoption before larger horizontal players capture the SDK layer.",https://www.eu-startups.com/2025/01/worlds-first-universal-robotics-software-platform-bow-raises-e4-7-million/
helion-energy,Helion Energy,"Develops a pulsed magneto-inertial fusion approach using helium-3 and deuterium, with direct electricity generation from plasma rather than steam turbines. Holds a power purchase agreement with Microsoft for a 50 MW plant targeted for 2028.",Materials,Structural Materials,Upstream Materials,Medium,US_DOE_LPO_Eligible,Series F,venture,425,,2025-01-28,28-Jan-25,Jan-25,1Q25,2025,"USA (Everett, WA)","Lightspeed Venture Partners, SoftBank",,,"$425M Series F lifts Helion past $1B cumulative at $5.4B — pricing roughly parallel to Commonwealth Fusion ($6B at last raise) and well above TAE Technologies and Marvel Fusion on the inertial-confinement comp side. Microsoft (MSFT) 50MW PPA by 2028 is the only enforceable demand-side commitment in private fusion; that contract is also the binary catalyst — Helion either hits commercial first plasma against the PPA timeline or the valuation resets. Lightspeed + SoftBank lead reads as growth-capital signaling, not first-of-a-kind risk underwriting.",https://helionenergy.com
castelion,Castelion,"Builds the Blackbeard hypersonic strike weapon for the US Army and Navy. Founded by former SpaceX engineers applying high-rate, vertically integrated manufacturing methods to hypersonic missile production.",Space,Launch,Deployment & Operation,Medium,US_DPA_Title_III,Series A,venture,100,,2025-01-29,29-Jan-25,Jan-25,1Q25,2025,"USA (El Segundo, CA)",Lightspeed Venture Partners,"Andreessen Horowitz, Lavrock Ventures, Cantos, First In, BlueYard Capital, Interlagos",,"$70M equity + $30M debt Series A — ex-SpaceX team applying high-rate vertical integration to hypersonic strike weapons. Direct comp set: Lockheed Martin (LMT) and Raytheon (RTX) on the incumbent missile primes, Anduril and Stoke Space on the new-defense-prime model. Lightspeed leading with a16z, BlueYard, Cantos signals the Anduril-template playbook is being copied. The thesis: DoD pricing per hypersonic round will collapse if Castelion's SpaceX-style manufacturing transfers to munitions — a binary on cost-per-unit, not technology.",https://spacenews.com/castelion-raises-350-million-to-scale-hypersonic-missile-production/
arkedge-space,ArkEdge Space,"Japanese satellite system integrator scaling micro-satellite production for commercial and government constellations. Operates as a vertically integrated supplier of buses, payloads, and mission management.",Space,Satellite Communications,Deployment & Operation,Medium,None,Series B,venture,52,,2025-02-04,04-Feb-25,Feb-25,1Q25,2025,Japan (Tokyo),Incubate Fund KK,,,"$52M Series B for Japan's leading micro-satellite integrator — comp set: Mitsubishi Electric (6503 JP) and IHI (7013 JP) on the incumbent Japanese aerospace side, plus Rocket Lab (RKLB) on the vertically integrated smallsat-bus model. Incubate Fund lead reads as Japan-domestic capital depth, not international growth signal. Thesis: Japan's MoD smallsat procurement is reshoring from US suppliers; ArkEdge is the most plausible domestic prime. Binary catalyst is the next JAXA / MoD constellation contract.",https://spacenews.com
quera-computing,QuEra Computing,Builds neutral-atom quantum computers using arrays of optically trapped rubidium atoms as qubits. Spun out of Harvard and MIT research; customers include Japanese supercomputing centers.,Semiconductors,Frontier Compute,IP & Design,Pre-commercial,US_CHIPS_Act,Undisclosed,venture,230,,2025-02-11,11-Feb-25,Feb-25,1Q25,2025,"USA (Boston, MA)","Google, SoftBank Vision Fund 2, Valor Equity Partners","QVT Family Office, Safar Partners",,"$230M convertible note led by Google (GOOG), SoftBank Vision Fund 2, and Valor — the cap-stack signal is that QuEra is being positioned as the neutral-atom leader against IonQ (IONQ), Rigetti (RGTI), and D-Wave (QBTS) on the public-market side, plus PsiQuantum and Quantinuum privately. $41M Japan supercomputing-center sale is the only real commercial-revenue datapoint in modal neutral-atom. Convertible structure rather than equity reads as price-discovery deferral by Google — they want the option without setting the mark. Modality bet, not company bet.",https://techcrunch.com/2025/02/11/google-leads-230m-convertible-note-for-boston-quantum-computing-startup-quera/
apptronik,Apptronik,"Builds Apollo, a general-purpose humanoid robot for warehouse and manufacturing work. Partnered with Mercedes-Benz for factory pilot deployments; targets logistics and automotive industrial customers.",Robotics,Humanoid & Service Robots,System Integration,High,None,Series A,venture,350,1500,2025-02-13,13-Feb-25,Feb-25,1Q25,2025,"USA (Austin, TX)","B Capital, Capital Factory",Google/DeepMind,ROBOT,"$350M Series A at $1.5B post (later expanded to $403M) — Apptronik is now the Western pure-play humanoid comp to Figure, 1X, and Agility on the bipedal-warehouse stack, against Tesla (TSLA) Optimus on the integrated-OEM side. Google/DeepMind co-investing is the structural differentiator: Apollo gets a foundation-model partner most peers lack. Mercedes-Benz pilot is the early procurement signal. Binary catalyst is converting the Mercedes pilot into a multi-thousand-unit contract before US capital tightens on humanoid burn rates.",https://techcrunch.com/2025/02/13/apptronik-raises-350m-to-build-humanoid-robots-with-help-from-google/
encharge-ai,EnCharge AI,"Designs analog in-memory compute AI inference chips, targeting energy-efficient inference for edge and client devices. Differentiated from digital accelerators by reducing the data-movement penalty that constrains GPU power efficiency.",Semiconductors,Fabless Design,IP & Design,Medium,US_CHIPS_Act,Series B,venture,100,,2025-02-13,13-Feb-25,Feb-25,1Q25,2025,"USA (Santa Clara, CA)",Tiger Global Management,"Samsung Ventures, In-Q-Tel, RTX Ventures, HH-CTBC (Foxconn/CTBC), Maverick Silicon",TSM,"$100M Series B for analog in-memory inference — comp set: NVIDIA (NVDA) on digital-incumbent, TSMC (TSM) as the fab partner, plus Mythic (private) and Syntiant on the analog-AI thesis. Tiger Global lead reads as growth-stage signaling, while Samsung Ventures + RTX Ventures + In-Q-Tel give defense and Korean memory pull-through. Energy-per-inference is the only credible angle versus GPU incumbents at the edge. Binary: a single tier-1 client SoC design-win demonstrating production-grade yield on TSMC nodes — analog-CMOS yield is the cliff that killed the prior generation.",https://techcrunch.com/2025/02/13/encharge-raises-100m-to-accelerate-ai-using-analog-chips/
k2-space,K2 Space,"Develops Mega-class high-power satellites — large, high-capability spacecraft designed for the heavy-lift launch era opened by Starship-class vehicles. Sells to constellation operators and government customers wanting more capability per spacecraft than current smallsat designs.",Space,Satellite Communications,Deployment & Operation,Medium,US_DPA_Title_III,Series B,venture,110,,2025-02-13,13-Feb-25,Feb-25,1Q25,2025,"USA (Torrance, CA)","Lightspeed Venture Partners, Altimeter Capital","Alpine Space Ventures, First Round Capital",,$110M Series B for Mega-class high-power buses — K2 is the post-Starship bet: bus capability designed around the launch-cost collapse SpaceX has now demonstrated. Comp set: Lockheed Martin (LMT) and Maxar (private) on the incumbent large-bus side; Rocket Lab (RKLB) and Loft Orbital on the new-entrant smallsat side. Lightspeed + Altimeter leading reads as growth-stage validation that the heavy-lift thesis is real. Binary catalyst is the first Mega-class delivery to a defense or constellation customer before competitors retool to match the payload class.,https://spacenews.com/k2-space-raises-110-million-to-scale-up-satellite-production/
cambridge-gan-devices,Cambridge GaN Devices,"UK Cambridge University spinout designing gallium nitride (GaN) power transistors and ICs for industrial, data center, and automotive applications. Competes with Infineon, EPC, and Navitas in GaN power semiconductors.",Semiconductors,Power & Analog,IP & Design,Medium,UK_NSI_Act,Series C,venture,32,,2025-02-18,18-Feb-25,Feb-25,1Q25,2025,United Kingdom (Cambridge),Strategic investor (undisclosed),"British Patient Capital, Parkwalk, BGF, Cambridge Innovation Capital, Foresight Group, IQ Capital",,"$32M Series C against GaN power incumbents: Infineon (IFX DE), Navitas (NVTS), Wolfspeed (WOLF), and EPC (private) — Cambridge GaN is the smallest player in the public-market comp set by an order of magnitude. Strategic-investor lead with British Patient Capital signals UK domestic-semis support, not aggressive growth thesis. Data-center 48V conversion is the only segment where Cambridge GaN can credibly compete on volume; binary is a single hyperscaler design-win before Infineon's monolithic GaN ICs reach production scale.",https://camgandevices.com/p/cambridge-gan-devices-secures-32m/
